GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
wealth-spring-boot-solace-jms-requestreply-producer,com.cgi.wealth.dp.solace.demo,WealthSpringBootSolaceJmsRequestreplyProducerApplication,5,3,0,0,2,1,1,1,1,1
wealth-spring-boot-solace-jms-requestreply-producer,com.cgi.wealth.dp.solace.demo.integration.service,MessageHandler,4,7,0,0,2,2,1,2,1,2
wealth-spring-boot-solace-jms-requestreply-producer,com.cgi.wealth.dp.solace.demo.integration.service,ConsumerErrorHandler,36,7,0,0,9,2,1,2,1,2
wealth-spring-boot-solace-jms-requestreply-producer,com.cgi.wealth.dp.solace.demo.integration.service,MessageProducer,14,68,1,3,2,18,1,4,0,3
wealth-spring-boot-solace-jms-requestreply-producer,com.cgi.wealth.dp.solace.demo.config,ProducerConfiguration,0,25,0,0,0,8,0,2,0,2
wealth-spring-boot-solace-jms-requestreply-producer,com.cgi.wealth.dp.solace.demo.config,ReplyReceiverConfiguration,0,19,0,0,0,6,0,2,0,2
